Search type: Characteristics
Shrub|Tree|Native - L48|Montana

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACNE2,,Acer negundo L.,boxelder
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINT,,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,thinleaf alder
ALRH2,,Alnus rhombifolia Nutt.,white alder
ALRU2,,Alnus rubra Bong.,red alder
ALVIS,,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
AMAL2,,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
AMUT,,Amelanchier utahensis Koehne,Utah serviceberry
AMUTU,,Amelanchier utahensis Koehne var. utahensis,Utah serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARAR8,,Artemisia arbuscula Nutt.,little sagebrush
ARCA13,,Artemisia cana Pursh,silver sagebrush
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARRI2,,Artemisia rigida (Nutt.) A. Gray,scabland sagebrush
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ARTR4,,Artemisia tripartita Rydb.,threetip sagebrush
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ATAP,,Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],moundscale
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
BENA,,Betula nana L.,dwarf birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPU4,,Betula pumila L.,bog birch
CATE11,,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CESA,,Ceanothus sanguineus Pursh,redstem ceanothus
